INFO:root:episode:50 e_greed:0.1976899999999977 Cost: 46.36341222879684 Reward:-138.06706114398418 Action:[-1, -1, [1, 3], [2, 4], [2, 5], [4, 0], [4, 2], [3, 1]]
INFO:root:episode:100 e_greed:0.1973899999999974 Cost: 62.463017751479285 Reward:-299.06311637080864 Action:[-1, -1, [3, 5], [4, 0], [2, 4], [2, 2], [2, 3], [3, 1]]
INFO:root:episode:150 e_greed:0.1970899999999971 Cost: 49.5069033530572 Reward:-169.50197238658774 Action:[-1, -1, [3, 1], [4, 5], [4, 3], [1, 4], [2, 2], [4, 0]]
INFO:root:episode:200 e_greed:0.1967899999999968 Cost: 51.269723865877715 Reward:-187.13017751479293 Action:[-1, -1, [3, 0], [4, 2], [4, 1], [0, 3], [1, 5], [0, 4]]
INFO:root:episode:250 e_greed:0.1964899999999965 Cost: 41.25986193293885 Reward:-87.03155818540424 Action:[-1, -1, [4, 0], [3, 2], [0, 4], [0, 3], [3, 1], [0, 5]]
INFO:root:episode:300 e_greed:0.1961899999999962 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [3, 2], [0, 5], [0, 4], [0, 3]]
INFO:root:episode:350 e_greed:0.1958899999999959 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [3, 2], [4, 1], [0, 5], [0, 3], [0, 4]]
INFO:root:episode:400 e_greed:0.1955899999999956 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [3, 2], [0, 4], [0, 5], [4, 1], [0, 3]]
INFO:root:episode:450 e_greed:0.1952899999999953 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [3, 2], [0, 4], [4, 1], [0, 3], [0, 5]]
INFO:root:episode:500 e_greed:0.194989999999995 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [3, 2], [4, 1], [0, 5], [0, 3], [0, 4]]
INFO:root:episode:550 e_greed:0.1946899999999947 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [3, 2], [4, 1], [0, 3], [0, 5], [0, 4]]
INFO:root:episode:600 e_greed:0.1943899999999944 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [3, 2], [4, 1], [0, 5], [0, 3], [0, 4]]
INFO:root:episode:650 e_greed:0.1940899999999941 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [3, 2], [4, 1], [0, 5], [0, 4], [0, 3]]
INFO:root:episode:700 e_greed:0.1937899999999938 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [0, 3], [3, 2]]
INFO:root:episode:750 e_greed:0.1934899999999935 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [0, 3], [3, 2]]
INFO:root:episode:800 e_greed:0.1931899999999932 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 4], [0, 5], [3, 2], [0, 3]]
INFO:root:episode:850 e_greed:0.1928899999999929 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:900 e_greed:0.1925899999999926 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [3, 2], [0, 4], [0, 3]]
INFO:root:episode:950 e_greed:0.1922899999999923 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [3, 2], [0, 4], [0, 3]]
INFO:root:episode:1000 e_greed:0.191989999999992 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [3, 2], [0, 4], [0, 3]]
INFO:root:episode:1050 e_greed:0.1916899999999917 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [3, 2], [0, 4], [0, 3]]
INFO:root:episode:1100 e_greed:0.1913899999999914 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1150 e_greed:0.1910899999999911 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1200 e_greed:0.1907899999999908 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1250 e_greed:0.1904899999999905 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1300 e_greed:0.1901899999999902 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1350 e_greed:0.1898899999999899 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1400 e_greed:0.1895899999999896 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1450 e_greed:0.1892899999999893 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1500 e_greed:0.188989999999989 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1550 e_greed:0.1886899999999887 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1600 e_greed:0.1883899999999884 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1650 e_greed:0.1880899999999881 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1700 e_greed:0.1877899999999878 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1750 e_greed:0.1874899999999875 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
INFO:root:episode:1800 e_greed:0.1871899999999872 Cost: 32.55670611439842 Reward:0.0 Action:[-1, -1, [4, 0], [4, 1], [0, 5], [0, 4], [3, 2], [0, 3]]
