INFO:root:episode:50 e_greed:0.19932799999999934 Cost: 47.357458810543356 Reward:-403.8248362172549 Action:[-1, -1, [2, 6], [2, 5], [3, 2], [4, 7], [3, 1], [2, 4], [1, 3], [1, 0]]
INFO:root:episode:100 e_greed:0.19892799999999894 Cost: 47.825001432563845 Reward:-408.5002624374598 Action:[-1, -1, [3, 6], [1, 7], [2, 2], [4, 1], [0, 5], [4, 4], [2, 3], [0, 0]]
INFO:root:episode:150 e_greed:0.19852799999999854 Cost: 50.45020084894036 Reward:-434.752256601225 Action:[-1, -1, [2, 6], [0, 5], [0, 1], [4, 4], [1, 7], [3, 2], [3, 0], [1, 3]]
INFO:root:episode:200 e_greed:0.19812799999999814 Cost: 7.2455624468737305 Reward:-2.7058725805586636 Action:[-1, -1, [2, 5], [1, 0], [1, 3], [4, 1], [0, 4], [2, 2], [1, 6], [3, 7]]
INFO:root:episode:250 e_greed:0.19772799999999774 Cost: -822.690158822339 Reward:-1000.0 Action:[-1, -1, [1, 0], [3, 7], [0, 4], [4, 3], [4, 2], [2, 5], [1, 6], [4, 1]]
INFO:root:episode:300 e_greed:0.19732799999999734 Cost: 7.653555714984807 Reward:-6.785805261669431 Action:[-1, -1, [1, 0], [3, 7], [1, 3], [0, 4], [4, 2], [1, 6], [4, 1], [0, 5]]
INFO:root:episode:350 e_greed:0.19692799999999694 Cost: -826.1894858748288 Reward:-1000.0 Action:[-1, -1, [1, 0], [1, 3], [3, 7], [4, 2], [1, 6], [0, 4], [0, 5], [0, 1]]
INFO:root:episode:400 e_greed:0.19652799999999654 Cost: 10.948886133419174 Reward:-39.7391094460131 Action:[-1, -1, [1, 0], [3, 7], [3, 3], [1, 6], [0, 4], [4, 2], [0, 5], [4, 1]]
INFO:root:episode:450 e_greed:0.19612799999999614 Cost: 7.653555714984807 Reward:-6.785805261669431 Action:[-1, -1, [1, 0], [4, 2], [3, 7], [1, 3], [4, 1], [1, 6], [0, 5], [0, 4]]
INFO:root:episode:500 e_greed:0.19572799999999574 Cost: 7.653555714984807 Reward:-6.785805261669431 Action:[-1, -1, [1, 0], [4, 2], [0, 4], [1, 3], [3, 7], [4, 1], [0, 5], [1, 6]]
INFO:root:episode:550 e_greed:0.19532799999999534 Cost: 8.333544495169933 Reward:-13.585693063520692 Action:[-1, -1, [1, 0], [1, 3], [0, 4], [4, 2], [4, 7], [0, 5], [4, 1], [1, 6]]
