INFO:root:episode:10 e_greed:0.19792999999999794 Cost: 49.22337278106508 Reward:-166.66666666666657 Action:[-1, -1, [0, 5], [0, 1], [1, 0], [1, 2], [0, 3], [2, 4]]
INFO:root:episode:20 e_greed:0.19786999999999788 Cost: 54.88165680473372 Reward:-223.249506903353 Action:[-1, -1, [0, 5], [3, 1], [0, 0], [2, 4], [2, 3], [4, 2]]
INFO:root:episode:30 e_greed:0.19780999999999782 Cost: 53.205128205128204 Reward:-206.4842209072978 Action:[-1, -1, [3, 1], [0, 5], [0, 0], [2, 4], [2, 3], [0, 2]]
INFO:root:episode:40 e_greed:0.19774999999999776 Cost: 53.205128205128204 Reward:-206.4842209072978 Action:[-1, -1, [3, 1], [0, 5], [0, 0], [2, 4], [2, 3], [0, 2]]
INFO:root:episode:50 e_greed:0.1976899999999977 Cost: 62.278106508875744 Reward:-297.2140039447732 Action:[-1, -1, [3, 1], [0, 5], [2, 4], [0, 0], [2, 3], [2, 2]]
INFO:root:episode:60 e_greed:0.19762999999999764 Cost: 59.13461538461539 Reward:-265.77909270216963 Action:[-1, -1, [4, 1], [2, 4], [0, 0], [2, 2], [2, 3], [3, 5]]
INFO:root:episode:70 e_greed:0.19756999999999758 Cost: 55.066568047337284 Reward:-225.0986193293886 Action:[-1, -1, [4, 1], [0, 2], [2, 4], [0, 0], [2, 3], [3, 5]]
INFO:root:episode:80 e_greed:0.19750999999999752 Cost: 46.36341222879684 Reward:-138.06706114398418 Action:[-1, -1, [4, 1], [0, 2], [3, 4], [0, 0], [2, 5], [2, 3]]
INFO:root:episode:90 e_greed:0.19744999999999746 Cost: 49.22337278106508 Reward:-166.66666666666657 Action:[-1, -1, [2, 1], [0, 2], [3, 4], [2, 5], [0, 0], [2, 3]]
INFO:root:episode:100 e_greed:0.1973899999999974 Cost: 42.56656804733727 Reward:-100.09861932938847 Action:[-1, -1, [2, 1], [0, 2], [3, 4], [3, 5], [1, 0], [2, 3]]
INFO:root:episode:110 e_greed:0.19732999999999734 Cost: 46.73323471400394 Reward:-141.76528599605518 Action:[-1, -1, [2, 1], [1, 0], [3, 4], [0, 2], [3, 5], [0, 3]]
INFO:root:episode:120 e_greed:0.19726999999999728 Cost: 45.89497041420118 Reward:-133.3826429980276 Action:[-1, -1, [2, 1], [1, 0], [3, 4], [2, 5], [2, 2], [0, 3]]
INFO:root:episode:130 e_greed:0.19720999999999722 Cost: 46.36341222879684 Reward:-138.06706114398418 Action:[-1, -1, [1, 0], [2, 1], [0, 5], [1, 2], [0, 3], [3, 4]]
INFO:root:episode:140 e_greed:0.19714999999999716 Cost: 45.05670611439842 Reward:-125.0 Action:[-1, -1, [1, 0], [2, 1], [1, 2], [0, 5], [0, 3], [0, 4]]
INFO:root:episode:150 e_greed:0.1970899999999971 Cost: 45.05670611439842 Reward:-125.0 Action:[-1, -1, [1, 0], [2, 1], [1, 2], [0, 4], [0, 5], [0, 3]]
INFO:root:episode:160 e_greed:0.19702999999999704 Cost: 45.05670611439842 Reward:-125.0 Action:[-1, -1, [1, 0], [1, 2], [4, 1], [0, 4], [0, 5], [0, 3]]
INFO:root:episode:170 e_greed:0.19696999999999698 Cost: 45.05670611439842 Reward:-125.0 Action:[-1, -1, [1, 0], [0, 4], [1, 2], [4, 1], [0, 5], [0, 3]]
INFO:root:episode:180 e_greed:0.19690999999999692 Cost: 45.89497041420118 Reward:-133.3826429980276 Action:[-1, -1, [1, 0], [0, 4], [1, 2], [4, 1], [0, 5], [4, 3]]
INFO:root:episode:190 e_greed:0.19684999999999686 Cost: 45.89497041420118 Reward:-133.3826429980276 Action:[-1, -1, [1, 0], [0, 4], [4, 3], [0, 5], [1, 2], [4, 1]]
INFO:root:episode:200 e_greed:0.1967899999999968 Cost: 45.89497041420118 Reward:-133.3826429980276 Action:[-1, -1, [1, 0], [0, 4], [4, 3], [0, 5], [1, 2], [4, 1]]
INFO:root:episode:210 e_greed:0.19672999999999674 Cost: 36.72337278106509 Reward:-41.66666666666664 Action:[-1, -1, [1, 0], [0, 4], [4, 3], [1, 2], [0, 5], [1, 1]]
INFO:root:episode:220 e_greed:0.19666999999999668 Cost: 36.72337278106509 Reward:-41.66666666666664 Action:[-1, -1, [0, 4], [1, 0], [4, 3], [1, 2], [0, 5], [1, 1]]
INFO:root:episode:230 e_greed:0.19660999999999662 Cost: 41.72830374753452 Reward:-91.71597633136095 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [0, 5], [1, 2], [1, 1]]
INFO:root:episode:240 e_greed:0.19654999999999656 Cost: 41.72830374753452 Reward:-91.71597633136095 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 2], [0, 5], [1, 1]]
INFO:root:episode:250 e_greed:0.1964899999999965 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [0, 2], [0, 5], [1, 1]]
INFO:root:episode:260 e_greed:0.19642999999999644 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [1, 0], [4, 3], [3, 4], [1, 1], [0, 2], [0, 5]]
INFO:root:episode:270 e_greed:0.19636999999999638 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [0, 5]]
INFO:root:episode:280 e_greed:0.19630999999999632 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [3, 5]]
INFO:root:episode:290 e_greed:0.19624999999999626 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [3, 5]]
INFO:root:episode:300 e_greed:0.1961899999999962 Cost: 36.72337278106509 Reward:-41.66666666666664 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [1, 2], [3, 5]]
INFO:root:episode:310 e_greed:0.19612999999999614 Cost: 41.72830374753452 Reward:-91.71597633136095 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [1, 2], [0, 5]]
INFO:root:episode:320 e_greed:0.19606999999999608 Cost: 41.72830374753452 Reward:-91.71597633136095 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [1, 2], [0, 5]]
INFO:root:episode:330 e_greed:0.19600999999999602 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [0, 2], [0, 5]]
INFO:root:episode:340 e_greed:0.19594999999999596 Cost: 36.72337278106509 Reward:-41.66666666666664 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [1, 2], [4, 5]]
INFO:root:episode:350 e_greed:0.1958899999999959 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [0, 2], [4, 5]]
INFO:root:episode:360 e_greed:0.19582999999999584 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [0, 2], [4, 5]]
INFO:root:episode:370 e_greed:0.19576999999999578 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [1, 1], [3, 4], [0, 2], [4, 5]]
INFO:root:episode:380 e_greed:0.19570999999999572 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [4, 5]]
INFO:root:episode:390 e_greed:0.19564999999999566 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [3, 5]]
INFO:root:episode:400 e_greed:0.1955899999999956 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [3, 5]]
INFO:root:episode:410 e_greed:0.19552999999999554 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [4, 5]]
INFO:root:episode:420 e_greed:0.19546999999999548 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [3, 4], [1, 1], [0, 2], [4, 5]]
INFO:root:episode:430 e_greed:0.19540999999999542 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [0, 2], [3, 4], [4, 5], [1, 1]]
INFO:root:episode:440 e_greed:0.19534999999999536 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [0, 2], [4, 5], [3, 4], [1, 1]]
INFO:root:episode:450 e_greed:0.1952899999999953 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [1, 0], [4, 5], [0, 2], [3, 4], [1, 1]]
INFO:root:episode:460 e_greed:0.19522999999999524 Cost: 33.86341222879684 Reward:-13.067061143984162 Action:[-1, -1, [4, 3], [4, 5], [1, 0], [0, 2], [3, 4], [1, 1]]
