INFO:root:episode:1  step:1 Cost:26.479289940828405 min Cost:-1 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:1  step:2 Cost:27.218934911242602 min Cost:-1 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:1  step:3 Cost:35.08382642998027 min Cost:-1 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:1  step:4 Cost:42.6775147928994 min Cost:-1 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:1  step:5 Cost:44.60059171597632 min Cost:-1 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:1  step:6 Cost:36.72337278106509 min Cost:-1 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:2  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:2  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:2  step:3 Cost:35.55226824457594 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[2, 2]
INFO:root:episode:2  step:4 Cost:43.145956607495066 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:2  step:5 Cost:45.069033530571986 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:2  step:6 Cost:46.36341222879684 min Cost:36.72337278106509 Reward:-96.40039447731752 全局reward:0 Action:[4, 0]
INFO:root:episode:3  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[1, 1]
INFO:root:episode:3  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
INFO:root:episode:3  step:3 Cost:35.08382642998027 min Cost:35.08382642998027 Reward:0 全局reward:0 Action:[1, 2]
INFO:root:episode:3  step:4 Cost:42.6775147928994 min Cost:42.6775147928994 Reward:0 全局reward:0 Action:[0, 4]
INFO:root:episode:3  step:5 Cost:44.60059171597632 min Cost:44.60059171597632 Reward:0 全局reward:0 Action:[0, 5]
INFO:root:episode:3  step:6 Cost:36.72337278106509 min Cost:36.72337278106509 Reward:0 全局reward:0 Action:[1, 0]
INFO:root:episode:4  step:1 Cost:26.479289940828405 min Cost:26.479289940828405 Reward:0 全局reward:0 Action:[0, 1]
INFO:root:episode:4  step:2 Cost:27.218934911242602 min Cost:27.218934911242602 Reward:0 全局reward:0 Action:[4, 3]
