time,average response time,memory occupancy of productpage,memory occupancy of details,memory occupancy of ratings,memory occupancy of reviews
1,9671.5,917504,880640,892928,931840
2,9671.5,860160,1.89E+07,892928,5.82E+06
3,8129.2,860160,1.49E+07,892928,3.92E+07
4,7318.42,3.52E+06,1.49E+07,892928,8.01E+07
5,6627.5,5.10E+07,2.85E+07,2.10E+07,1.12E+08
6,7394.9,5.10E+07,6.77E+07,8.30E+06,1.17E+08
7,7331.1,1.08E+08,7.00E+07,2.20E+07,1.48E+08
8,6417.7,1.08E+08,7.00E+07,2.20E+07,1.49E+08
9,7535.9,1.08E+08,7.21E+07,6.00E+07,1.48E+08
10,8927.2,1.08E+08,7.21E+07,6.00E+07,1.48E+08
11,7544.2,1.08E+08,7.21E+07,6.21E+07,1.48E+08
12,7814.9,1.08E+08,7.21E+07,6.21E+07,1.48E+08
13,9958.6,1.08E+08,7.21E+07,6.22E+07,1.48E+08
14,14795.4,1.08E+08,7.21E+07,6.22E+07,1.48E+08
15,16551.8,1.08E+08,7.21E+07,6.22E+07,1.48E+08
16,17424.5,1.08E+08,7.21E+07,6.22E+07,1.49E+08
17,15753.5,1.08E+08,7.21E+07,6.22E+07,1.49E+08
18,24672.8,1.08E+08,7.21E+07,6.22E+07,1.48E+08
19,22551.9,1.22E+08,7.21E+07,6.65E+07,1.57E+08
20,24574.5,2.06E+08,7.85E+07,6.80E+07,1.72E+08
21,27971.2,2.34E+08,7.85E+07,6.80E+07,1.74E+08
22,26121.9,2.41E+08,8.08E+07,6.88E+07,1.74E+08
23,25759.6,2.41E+08,7.82E+07,6.88E+07,1.80E+08
24,13934.6,2.41E+08,7.92E+07,6.88E+07,1.79E+08
25,16551.8,2.40E+08,7.95E+07,6.91E+07,1.76E+08
26,14795.4,2.40E+08,8.01E+07,6.92E+07,1.79E+08
27,16551.8,2.46E+08,8.01E+07,6.92E+07,1.76E+08
28,17424.5,2.45E+08,8.09E+07,6.87E+07,1.76E+08
29,15753.5,2.45E+08,8.20E+07,6.87E+07,1.77E+08
30,24672.8,2.53E+08,8.32E+07,6.88E+07,1.73E+08
31,22551.9,2.49E+08,8.30E+07,6.93E+07,1.73E+08
32,24574.5,2.57E+08,8.34E+07,6.62E+07,1.72E+08
33,27971.2,2.58E+08,8.36E+07,6.62E+07,1.79E+08
34,26121.9,2.53E+08,8.36E+07,6.70E+07,1.85E+08
35,25759.6,2.53E+08,8.36E+07,6.73E+07,1.90E+08
36,13934.6,2.53E+08,8.36E+07,6.67E+07,1.86E+08
37,14795.4,2.50E+08,8.27E+07,6.67E+07,1.77E+08
38,16551.8,2.50E+08,8.27E+07,6.69E+07,1.77E+08
39,17424.5,2.50E+08,8.27E+07,6.69E+07,1.79E+08
40,15753.5,2.48E+08,8.27E+07,6.69E+07,1.78E+08
41,24672.8,2.48E+08,8.27E+07,6.68E+07,1.83E+08
42,22551.9,2.48E+08,8.27E+07,6.74E+07,1.80E+08
43,24574.5,1.20E+08,8.27E+07,6.77E+07,1.80E+08
44,27971.2,1.20E+08,8.34E+07,6.73E+07,1.80E+08
45,26121.9,1.20E+08,8.34E+07,6.73E+07,1.80E+08
46,25759.6,1.20E+08,8.34E+07,6.76E+07,1.80E+08
47,13934.6,1.20E+08,8.34E+07,6.76E+07,1.81E+08
48,22551.9,1.20E+08,8.34E+07,6.77E+07,1.81E+08
49,14155.4,1.25E+08,8.43E+07,6.77E+07,1.81E+08
50,14166.2,1.25E+08,8.45E+07,6.78E+07,1.82E+08
51,13193.3,1.25E+08,8.45E+07,6.74E+07,1.83E+08
52,9158.2,1.33E+08,8.64E+07,6.74E+07,1.83E+08
53,8122.4,1.33E+08,8.64E+07,6.75E+07,1.82E+08
54,7519.3,1.51E+08,8.56E+07,6.75E+07,1.83E+08
55,7061,1.51E+08,8.56E+07,6.72E+07,1.83E+08
56,8122.4,1.54E+08,8.64E+07,6.72E+07,1.83E+08
57,7353.7,1.54E+08,8.64E+07,6.77E+07,1.84E+08
58,12613.8,1.71E+08,8.74E+07,6.77E+07,1.84E+08
