time,productpage-details,productpage-reviews,reviews-ratings
1,1,1.03478,2.08696
2,1,1.025,2.15
3,1,1.06667,2.26667
4,1.02857,1,2
5,1,1.03,2.06667
6,1.08844,1,1.93878
7,1.31455,1,1.89202
8,1.05058,1,2.02335
9,1.1236,1,1.75843
10,1,1.1125,2.3125
11,1.25926,1,1.77037
12,1.1236,1,1.91011
13,1.05691,1,1.86992
14,1.19266,1,1.63303
15,1,1.08571,1.77143
16,1,1.25641,2.46154
17,1,1.07353,1.64706
18,1.15517,1,2.06897
19,1,1.18,2.5
20,1,1.38,1.89189
21,1.08108,1,1.72263
22,1.16788,1,1.58182
23,1,1.07273,2.04396
24,1,1.21818,2.08462
25,1,1.08462,1.86957
26,1.08696,1,2.34
27,1,1.24242,1.62245
28,1,1.02041,2.10101
29,1.21693,1,1.65574
30,1,1.14754,1.97407
31,1,1.18519,1.57667
32,1,1.06667,2.19355
33,1,1.23404,1.88235
34,1,1.05882,1.80645
35,1,1.25806,1.635
36,1,1.17,1.9525
37,1,1.12766,2.03824
38,1,1.45161,1.92754
39,1,1.11594,1.66
40,1.12,1,1.70213
41,1.06383,1,2.02188
42,1,1.08462,1.97391
43,1.13043,1,1.7234
44,1.40426,1,2.08438
45,1,1.2,1.87705
46,1.06557,1,2.16327
47,1,1.08163,2.16304
48,1.1039,1,1.66964
49,1.28846,1,2.15909
50,1.13636,1,2.14286
51,1,1.20513,1.8
52,1.17647,1,2.26471
53,1.02941,1,1.84
54,1.16,1,2.02128
55,1.21277,1,1.94615
56,1,1.23077,2.24242
57,1.29412,1,2.34138
58,1.07143,1,2.26415
59,1,1.07547,1.97872
60,1,1.17,1.53846
61,1,1,1.88
62,1.46,1,1.9403
63,1,1,2.19355
64,1.09677,1,2.23889
65,1,1.18333,1.54
66,1.1,1,2.0101
67,1.20724,1,2.09792
68,1.375,1,1.98
69,1.2449,1,1.92
70,1,1.22,1.95775
71,1.16901,1,1.56
72,1,1.4058,1.73418
73,1,1.29851,2.07692
74,1.01538,1,2
75,1.06349,1,1.73874
76,1,1.11765,1.77976
77,1,1.36364,2.1375
78,1,1.08125,1.77165
