timeStamp,elapsed
1.62865E+12,99
1.62865E+12,49
1.62865E+12,80
1.62865E+12,118
1.62865E+12,82
1.62865E+12,45
1.62865E+12,44
1.62865E+12,87
1.62865E+12,85
1.62865E+12,36
1.62865E+12,89
1.62865E+12,81
1.62865E+12,49
1.62865E+12,87
1.62865E+12,95
1.62865E+12,108
1.62865E+12,87
1.62865E+12,48
1.62865E+12,40
1.62865E+12,96
1.62865E+12,101
1.62865E+12,93
1.62865E+12,96
1.62865E+12,89
1.62865E+12,71
1.62865E+12,101
1.62865E+12,63
1.62865E+12,145
1.62865E+12,132
1.62865E+12,118
1.62865E+12,72
1.62865E+12,102
1.62865E+12,138
1.62865E+12,130
1.62865E+12,88
1.62865E+12,93
1.62865E+12,109
1.62865E+12,100
1.62865E+12,127
1.62865E+12,123
1.62865E+12,115
1.62865E+12,60
1.62865E+12,78
1.62865E+12,103
1.62865E+12,131
1.62865E+12,153
1.62865E+12,129
1.62865E+12,108
1.62865E+12,134
1.62865E+12,121
1.62865E+12,132
1.62865E+12,163
1.62865E+12,138
1.62865E+12,140
1.62865E+12,176
1.62865E+12,128
1.62865E+12,165
1.62865E+12,155
1.62865E+12,161
1.62865E+12,153
1.62865E+12,171
1.62865E+12,154
1.62865E+12,128
1.62865E+12,162
1.62865E+12,171
1.62865E+12,191
1.62865E+12,173
1.62865E+12,147
1.62865E+12,168
1.62865E+12,112
1.62865E+12,174
1.62865E+12,139
1.62865E+12,147
1.62865E+12,165
1.62865E+12,192
1.62865E+12,184
1.62865E+12,157
1.62865E+12,157
1.62865E+12,184
1.62865E+12,133
1.62865E+12,123
1.62865E+12,159
1.62865E+12,156
1.62865E+12,162
1.62865E+12,205
1.62865E+12,194
1.62865E+12,232
1.62865E+12,182
1.62865E+12,176
1.62865E+12,171
1.62865E+12,206
1.62865E+12,219
1.62865E+12,170
1.62865E+12,238
1.62865E+12,190
1.62865E+12,190
1.62865E+12,202
1.62865E+12,202
1.62865E+12,239
1.62865E+12,249
1.62865E+12,186
1.62865E+12,127
1.62865E+12,216
1.62865E+12,236
1.62865E+12,217
1.62865E+12,325
1.62865E+12,269
1.62865E+12,216
1.62865E+12,278
1.62865E+12,263
1.62865E+12,235
1.62865E+12,201
1.62865E+12,217
1.62865E+12,231
1.62865E+12,257
1.62865E+12,217
1.62865E+12,261
1.62865E+12,275
1.62865E+12,233
1.62865E+12,223
1.62865E+12,252
1.62865E+12,217
1.62865E+12,281
1.62865E+12,247
1.62865E+12,256
1.62865E+12,255
1.62865E+12,267
1.62865E+12,281
1.62865E+12,256
1.62865E+12,305
1.62865E+12,317
1.62865E+12,286
1.62865E+12,308
1.62865E+12,346
1.62865E+12,331
1.62865E+12,321
1.62865E+12,277
1.62865E+12,297
1.62865E+12,291
1.62865E+12,237
1.62865E+12,324
1.62865E+12,331
1.62865E+12,348
1.62865E+12,310
1.62865E+12,408
1.62865E+12,230
1.62865E+12,366
1.62865E+12,367
1.62865E+12,333
1.62865E+12,350
1.62865E+12,304
1.62865E+12,293
1.62865E+12,360
1.62865E+12,296
1.62865E+12,248
1.62865E+12,305
1.62865E+12,360
1.62865E+12,329
1.62865E+12,277
1.62865E+12,336
1.62865E+12,327
1.62865E+12,304
1.62865E+12,392
1.62865E+12,351
1.62865E+12,305
1.62865E+12,288
1.62865E+12,313
1.62865E+12,329
1.62865E+12,308
1.62865E+12,302
1.62865E+12,366
1.62865E+12,308
1.62865E+12,339
1.62865E+12,403
1.62865E+12,338
1.62865E+12,337
1.62865E+12,345
1.62865E+12,350
1.62865E+12,371
1.62865E+12,367
1.62865E+12,391
1.62865E+12,387
1.62865E+12,310
1.62865E+12,431
1.62865E+12,318
1.62865E+12,330
1.62865E+12,463
1.62865E+12,391
1.62865E+12,455
1.62865E+12,420
1.62865E+12,416
1.62865E+12,399
1.62865E+12,299
1.62865E+12,464
1.62865E+12,437
1.62865E+12,452
1.62865E+12,452
1.62865E+12,505
1.62865E+12,562
1.62865E+12,501
1.62865E+12,294
1.62865E+12,369
1.62865E+12,456
1.62865E+12,467
1.62865E+12,402
1.62865E+12,393
1.62865E+12,378
1.62865E+12,378
1.62865E+12,550
1.62865E+12,334
1.62865E+12,454
1.62865E+12,351
1.62865E+12,409
1.62865E+12,316
1.62865E+12,404
1.62865E+12,401
1.62865E+12,354
1.62865E+12,500
1.62865E+12,501
1.62865E+12,512
1.62865E+12,452
1.62865E+12,488
1.62865E+12,503
1.62865E+12,423
1.62865E+12,469
1.62865E+12,446
1.62865E+12,439
1.62865E+12,486
1.62865E+12,556
1.62865E+12,540
1.62865E+12,500
1.62865E+12,648
1.62865E+12,768
1.62865E+12,618
1.62865E+12,620
1.62865E+12,642
1.62865E+12,713
1.62865E+12,649
1.62865E+12,651
1.62865E+12,621
1.62865E+12,686
1.62865E+12,720
1.62865E+12,700
1.62865E+12,708
1.62865E+12,700
1.62865E+12,706
1.62865E+12,584
1.62865E+12,758
1.62865E+12,742
1.62865E+12,777
1.62865E+12,785
1.62865E+12,799
1.62865E+12,668
1.62865E+12,665
1.62865E+12,668
1.62865E+12,626
1.62865E+12,568
1.62865E+12,634
1.62865E+12,645
1.62865E+12,639
1.62865E+12,624
1.62865E+12,627
1.62865E+12,559
1.62865E+12,624
1.62865E+12,785
1.62865E+12,635
1.62865E+12,521
1.62865E+12,524
1.62865E+12,483
1.62865E+12,762
1.62865E+12,769
1.62865E+12,664
1.62865E+12,662
1.62865E+12,491
1.62865E+12,470
1.62865E+12,554
1.62865E+12,474
1.62865E+12,494
1.62865E+12,745
1.62865E+12,480
1.62865E+12,524
