timeStamp,elapsed
1.62861E+12,1429
1.62861E+12,948
1.62861E+12,403
1.62861E+12,1523
1.62861E+12,645
1.62861E+12,246
1.62861E+12,1127
1.62861E+12,226
1.62861E+12,279
1.62861E+12,137
1.62861E+12,113
1.62861E+12,104
1.62861E+12,143
1.62861E+12,73
1.62861E+12,1174
1.62861E+12,1834
1.62861E+12,796
1.62861E+12,1999
1.62861E+12,1119
1.62861E+12,2414
1.62861E+12,1552
1.62861E+12,677
1.62861E+12,715
1.62861E+12,738
1.62861E+12,450
1.62861E+12,733
1.62861E+12,416
1.62861E+12,218
1.62861E+12,201
1.62861E+12,180
1.62861E+12,250
1.62861E+12,291
1.62861E+12,272
1.62861E+12,227
1.62861E+12,287
1.62861E+12,294
1.62861E+12,336
1.62861E+12,411
1.62861E+12,388
1.62861E+12,375
1.62861E+12,469
1.62861E+12,346
1.62861E+12,1322
1.62861E+12,1396
1.62861E+12,376
1.62861E+12,766
1.62861E+12,2123
1.62861E+12,989
1.62861E+12,2055
1.62861E+12,451
1.62861E+12,3020
1.62861E+12,2942
1.62861E+12,954
1.62861E+12,651
1.62861E+12,433
1.62861E+12,2658
1.62861E+12,1701
1.62861E+12,625
1.62861E+12,702
1.62861E+12,381
1.62861E+12,826
1.62861E+12,1228
1.62861E+12,405
1.62861E+12,836
1.62861E+12,461
1.62861E+12,421
1.62861E+12,2525
1.62861E+12,1482
1.62861E+12,520
1.62861E+12,422
1.62861E+12,843
1.62861E+12,1411
1.62861E+12,736
1.62861E+12,391
1.62861E+12,460
1.62861E+12,629
1.62861E+12,446
1.62861E+12,307
1.62861E+12,311
1.62861E+12,460
1.62861E+12,378
1.62861E+12,383
1.62861E+12,375
1.62861E+12,373
1.62861E+12,408
1.62861E+12,414
1.62861E+12,424
1.62861E+12,441
1.62861E+12,463
1.62861E+12,457
1.62861E+12,427
1.62861E+12,531
1.62861E+12,364
1.62861E+12,363
1.62861E+12,468
1.62861E+12,457
1.62861E+12,471
1.62861E+12,526
1.62861E+12,431
1.62861E+12,492
1.62861E+12,452
1.62861E+12,474
1.62861E+12,459
1.62861E+12,450
1.62861E+12,498
1.62861E+12,506
1.62861E+12,498
1.62861E+12,507
1.62861E+12,529
1.62861E+12,538
1.62861E+12,523
1.62861E+12,548
1.62861E+12,551
1.62861E+12,563
1.62861E+12,556
1.62861E+12,638
1.62861E+12,617
1.62861E+12,576
1.62861E+12,557
1.62861E+12,759
1.62861E+12,658
1.62861E+12,684
1.62861E+12,559
1.62861E+12,679
1.62861E+12,600
1.62861E+12,711
1.62861E+12,720
1.62861E+12,700
1.62861E+12,634
1.62861E+12,700
1.62861E+12,731
1.62861E+12,644
1.62861E+12,705
1.62861E+12,682
1.62861E+12,677
1.62861E+12,784
1.62861E+12,722
1.62861E+12,841
1.62861E+12,749
1.62861E+12,763
1.62861E+12,715
1.62861E+12,717
1.62861E+12,765
1.62861E+12,772
1.62861E+12,729
1.62861E+12,746
1.62861E+12,666
1.62861E+12,813
1.62861E+12,779
1.62861E+12,728
1.62861E+12,651
1.62861E+12,715
1.62861E+12,748
1.62861E+12,690
1.62861E+12,779
1.62861E+12,682
1.62861E+12,728
1.62861E+12,725
1.62861E+12,779
1.62861E+12,778
1.62861E+12,837
1.62861E+12,655
1.62861E+12,576
1.62861E+12,700
1.62861E+12,779
1.62861E+12,653
1.62861E+12,685
1.62861E+12,581
1.62861E+12,785
1.62861E+12,552
1.62861E+12,813
1.62861E+12,496
1.62861E+12,497
1.62861E+12,644
1.62861E+12,738
1.62861E+12,532
1.62861E+12,674
1.62861E+12,529
1.62861E+12,532
1.62861E+12,516
1.62861E+12,669
1.62861E+12,644
